Sno,Title,Experience & Benefits delivered
160,Strategic Contract Exits: Planning and Execution,When a supplier of a longer term or complex contract is due to leave it is vital to ensure adequate handover  This should be set out in the contract but can often be overlookedThere should be two elements What the supplier is obliged to provide in the contract This may include data room information TUPE provision knowledge transfer etc that will be fundamental to business continuity and there may be optional elements that could be requested It is natural that suppliers will seek to minimise the former and maximise the latterThe Procurement team will need to be very clear on timeframes can the contracts be extended On what terms How long do they have to procure an alternative solution  How to maintain ending the current contract and starting the new one in alignment It is important to understand what information is needed from the supplier in the procurement exercise and what they are obliged to provide  They must be held to account   What is needed to release a tender and what is needed during the contracting period Reasonable cooperation is important and must be facilitated  Often suppliers wish to limit information provided or will seek to have more workers included in TUPE than anticipated  Being poorly prepared for this can end in contracts with the original supplier needing to be temporarily extended allowing the supplier to name its price and this must be avoided Is the same supplier going to be included in the new tender process  It is important to ensure that they do not have an unfair advantage against other bidders perhaps by applying ethical walls etc
161,Navigating Divestments and Acquisitions: A Procurement Perspective,Ive led the divestment of business units and also on the acquisition and start up side eg when De La Rue divested PortalsIt is important to understand what contracts can be transferred and on what basis   eg is it an automatic right is it permitted subject to approval or is the contract silent or even prohibitedIt is important to assess this and to do that it is necessary to have all contracts to hand which is often not the case  As such there must be an exercise to identify all spend and whom the spend is made with  It is also important that there are no disputes ongoing as these will be offputting to acquirersEarly in my career I saw disputes being settled to a suppliers benefit solely so that they would not be visible to potential acquirers which is not optimal  Once that information is obtained it will become clear as to what procurement activities may be needed together with what information may be required to be included in data room for possible acquirersOn acquisition it may be really important to plug some gaps in supply and to do this without allowing suppliers to find out that their services are considered mission critical which would be price affecting  It may also be useful to explore on acquisition side what governance should be immediately put in place in respect of supplier contracts  is it worth having a digital contract management solution for example
162,Contractual Frameworks for Start-Ups: Building Solid Foundations,Procurement strategy should be established prior to trading wherever possible  This was imperative in the joint venture I led between Royal Marsden ICR and Sopra SteriaThe kinds of areas I can guide you on are Firstly do you have enough of the right experience to get this done in a timely way Do you need to hireretrainexit anyone in the Procurement team Can you buy off the shelf  Is anything niche  What sort of volumes will you need Are you seeking to have intellectual property ownership Do the existing relationships include any supply expectations What is your budget How are you going to benchmark the pricing What is mission critical  What can wait What licensing model do you want eg enterprise wide or named user How do you generate bids for work  Do you use any existing frameworks or are there key suppliers in the industry that you should form relationships with Will you have exec sponsors for key relationships What resilience do you have  This will vary depending on how easy it will be to replace a supplier What due diligence will you require on your suppliers and their suppliers  Are you confident that they can meet your expectations  What reassurance do you require  Parent Company Guaranteeinsurance etc What policies do you have that you will require adherence to  You will probably have to publish them  eg data protection antimoney laundering anti modern slavery etc What will your supplier governance look like Do you have capacity to execute it What tools can you adopt to reduce effortFailure to set this up well in the beginning could severely impact your ability to deliver expected results in early years of trading  This could lead to the failure of the new venture
163,Incorporating Social Value into Procurement Tenders, Coauthored a paper on this topic for World Commerce and Contracting with public sector Procurement experts Our research showed that often social value is added as a tick box exercise whereas to glean true value for both parties and the community this must receive adequate and ongoing consideration By working on social value together true partnership can be established that leads to better cooperation in other matters  Demonstrating that this is done well can help to attract the best talent to your organisationAddressing the following considerations can bring immense value  For example What social value compliments your strategy Could you bring a few suppliers together to produce an outcome greater than the sum of the parts How are you going to measure the contribution in a tender Who will ensure the social value is achieved in your organisation What reporting is in place Who is going to work on this both buy side and supplier side Unless someone is specificially responsible it wont be done  Are you paying for this by way of hidden charges in the suppliers proposal  How do you draw that out What sort of publicity of the social value do you want to generate What are the arrangements in place for this with the chosen supplier What is the programme of work specifically in relation to the social value element do you require How do you document this in the best manner
164,Handling Employee Disciplinary: A Procurement Leader’s Guide,Procurement teams operate in a position of fiduciary responsibility  It is important that they are above reproach and that they understand the required behaviours  for example what is acceptable in terms of corporate hospitality offered by suppliersEducation in this area is paramount  It is also important that Procurement teams have a good understanding of the law in matters relating to competition law in particularThis is important to help employees to do great work but it is also vital to be able to use this if it is suspected that an employees behaviour falls below the required standards which may even amount to criminal behaviourI have led investigations into suspicious activities ensuring that the evidence is gathered professionally and comprehensively I have been the Officer in charge of many disciplinary hearings some of which have led to onthespot termination of employment at the end of the Hearing Managing these effectively is key to ensure no employer can bring a successful unfair dismissal claim as due process is carefully adhered toI have led investigations that have properly led to police involvement eg when a procurement officer paid an invoice to a bogus supply account which could have been an inside job or the officer may have simply failed to apply appropriate checksAll these matters are extremely delicate and can have far reaching consequences so they must be handled with utmost confidentiality and as swiftly as possible 
165,Solving your Procurement/Supplier Challenges, 30 years of solving commercial and supplier problems  From Strategic design to Operational delivery and everything in between   Unique set of skills and toolkit gained across varied Retail Hospitality and Property clients Tailored and creative problem solving to drive exceptional sustainable value improved governance and practical management of risk
166,Cloud Computing Services & Infrastructure,During my time at McLaren Applied I commercially led the organisation through a period of transformation following the organisations divestment from McLaren Group This project included a separation from McLarens  cloud instances implicitly triggering a need to migrate data into a new accountAs an Indirect Category Manager I ran and coordinated the end to end sourcing of all Cloud Services and their afferent professional services required for the migration resulting in an overall annual saving of 15 from previous chargebacks Following alignment with internal stakeholders on the long term IT strategy I pursued a different contracting route  via an AWS partner  in order to unlock the benefit of extended payment terms thus improving cashflow As a Head of Procurement at EposNow the CTO and I decided to deep dive into the world of public cloud ending up with a new strategy aimed at improving latency mitigating risk  maximising availability for the organisations customers whilst ensuring competitive commercial frameworks with both Azure  AWSDuring my time at Sky in 20 I introduced the org to AWS marketplace creating levers to trial new technologies buy flexibly streamline invoicing  uniformised payment terms Overall saving in the respective tail spend of 20 in 2022
167,"Data Centre Co-locations, Hardware & Professional Services", Delivered a new Data Centre location in Tokyo Japan on a 3 month notice 2020 for a new THG Ingenuity client ran a rapid colocation tender refreshed relationships with main server distributors in region negotiated new MSAs for adhoc remote hand support with local providers Total cost avoidance 350k Built longlasting effective partnerships with TechData Exertis Ingram CDW as well as with manufacturers like Dell Supermicro PureStorage Fortinet Nvidia Experienced in negotiating large value timepressured contracts in the context of global shortages for electronics 20202021 
168,EUC Hardware - HaaS & CAPEX,Experience in running procurement activities at a small scale 500 employees  at a large scale 5000 in EMEA NA  Australia Delivered savings across multiple roles through a variety of methods including user profiling expertly led better informed route to market decisions IT asset disposal schemes EUC management policies outsourcing specific operations leg based on geographical requirements incoterms barriers etc I worked with numerous manufacturers  IT resellers including CDW CAE Zones Softcat etc
169,MarTech & AdTech, At Sky in 2022 I ran and delivered a 6month sourcing programme for a new Customer Data Platform  providing a single source of truth for all Sky brands Amongst the vendors evaluated Tealium Zeotap and Adobe were shortlisted Following negotiations the end result was over 1M in cost avoidance  other nonfinancial benefits  Notable vendor relationships  high value contract negotiations in advertising management Clearcast Freewheel Google Meta YoSpace AdStream TV Beat 
170,Cloud Services Procurement Strategies, Led key procurements activities and tenders for on premise data center and hybrid to full Cloud enablement solutions Tendered new onpremise Data Centre Procurement for NHS Trust with strategy to move to adopt full Cloud adoption in 3 years Full Public sector compliance processes and policies in scope both via Direct Award and Framework Agreement Partners engaged Support for Bid Management proposals to win new business achieving double digit margin awards
171,Strategic Telecommunications Procurement, Developed and delivered best in class Network and IT Infrastructure solutions to support the growth of the mobile operators in the UK including experience of VF EE VMO2 CW MBNL Three CTIL Scope includes all Mobile Broadband WiFi and LTE 4G trials Access Network  Retail Stores IT connectivity Services Management performance and Data Storage Significant focus on Hardware  Software spend development and support services for infrastructure and back office business applications
172,Mobile Management and Application Strategy, Changed client portfolio to support front and backoffice Network IT  Mobility solutions procurement Supported Groups vision to be the best in the UK both for its customers and colleagues Spend scope circa 500M of the total 3bn Group Investment in support of program initiatives to become increasingly Digital towards its Customers whilst also enabling colleagues agility and work  life balance Restructured the Mobility Contract Agreement to be transparent and selfmanaging Vendor Ownership reducing prior tariff rates by more than 35 whilst incorporating annual tariff reductions to ensure year on year competitiveness Group Souring Procurement ambassador for BestinClass processes and benefits driving cost out programs across the Group in its target to achieve multi Ms savings year on year Vendors in scope BT EE VMO2 Colt Verizon VF 2nd Tier support vendors
173,Advanced Contract Lifecycle Management Techniques, In Life Contract Management  Recommended and incorporated changes to improve performance and deliverables Vendor Self Management Shifted emphasis towards vendor self management with regular SLA and KPI reporting Benchmarking Performed regular and transparent benchmarking to ensure compliance and market pricing alignment Expiring  Renewals Ensured contracts proactively managed to realise best outcomes for both parties Continuous Improvement Base lined and aligned roadmap to deliver increased benefits during the term of the contract  relationship
174,Ensuring Procurement Compliance and Regulation Management, Extensive experience across multiple public and private sectors facing into their related Governance and Regulatory establishments and presenting in all associated works and projects to ensure compliance Reducing risk and mitigation of conflicts policing contract and additional legal deliverables through total life cycle  Performing contractual audits towards the suppliers obligations to the client but also to 3rd tier supply chain support networks
175,Source to Pay Procurement Technology Enablement,Previous roles include SVP Supply Chain Procurement at The Marketing Store a HAVI Company Director Head of Procurement Centre of Excellence at Arm Ltd Procurement Director Global Business Services at Smith  Nephew Plc
176,Strategic Procurement Planning & Compliance in the Public Sector, Senior and highly experienced public procurement professional and trusted advisor  Gain an understanding of how your current procurement processes and governance aligns with the current or new regulations and the steps to take to ensure that future procurement activity delivers best outcomes within the context of the new regime 
177,Designing and Implementing Effective Public Procurement Processes, Highly experienced procurement professional with experience of delivering complex procurement processes across all categories of spend within the public sector  Obtain clarity on the options available to you and the strategies and processes to follow to ensure the best outcomes for your procurement exercise 
178,"Enhancing Public Sector Procurement with DEI, Social Value & ESG Principles", Enhance your approach to DEI SV and ESG related issues with a highly qualified and experienced procurement professional  Extensive expertise in this area from across the public sector in central and local government the NHS and Specialist Consultancy Certified in Ethical Procurement by CIPS 
179,Advanced Supplier and Contract Management for Public Sector Procurement, Get your Procurement off to the right start through discussion with a senior and highly experienced public procurement professional  18 Years of Experience in Public Sector Procurement at Senior Level Delivered multicontract programmes and PCR compliant procurement processes for clients from across the Public Sector and in all categories of spend 
180,Strategic HR and Workforce Procurement Solutions in Public Sector, Senior and highly experienced Public Procurement professional with a specialism in Workforce and HR related spend Acting as an independent and knowledgeable trusted advisor enhancing approach to market Gain an understanding of how your current procurement processes and governance aligns with the current or new regulations and the steps to take to ensure that future procurement activity delivers best outcomes within the context of the new regime 
181,"Delivering IT Procurement in the Public Sector (SaaS, Cloud, HW/SW)", Senior and highly knowledgeable public procurement professional with many years of experience in the IT Category of Spend  Experience of IT procurement processes and governance aligning to current and new public procurement regulations and the steps to take to ensure that future procurement activity delivers best outcomes within the context of the new regime 
182,Professional Services Procurement in Public Sector, Senior and highly experienced Public Procurement professional  An independent and knowledgeable critical friend enhancing my clients understanding and approach to market Gain an understanding of available procurement solutions and pathways how your current procurement processes and governance aligns with the current or new regulations and the steps to take to ensure that future procurement activity delivers best outcomes 
183,Managed Services and Outsourcing for Public Sector Efficiency, Led procurement activities across Outsourcing Managed Services Concessions and Business Processes for multiple Public sector engagements A senior and highly experienced Public Procurement professional with many years experience in this often complicated category of spend Independent and knowledgeable critical friend enhancing my clients abilities to market and strengthen longer term supplier and contract management performance  Significant experience of contract management and supplier management processes ensuring governance aligns with current regulations and best practice  and the steps to take to ensure that future activity delivers best outcomes
184,Public Sector Construction and Engineering Procurement, Senior and highly experienced Public Procurement professional often acting as an independent and knowledgeable critical friend to enhance my clients approaches to market  Detailed understanding of how procurement processes and governance aligns with the current or new regulations and the steps to take to ensure that future procurement activity delivers best outcomes within the context of the new regime 
185,Corporate Travel Management for Global Corporates, Preparation of Global Tender documentation to support transition from Click Travel National provider to Travel Perks Global provider or similar Shortlisted supply base include CWT  JTB Business Travel FCM Travel and Cooraj Travel Previous experience implementing travel booking platforms to cover air rail and hotel requirements internationally  This involved analysing and rescoping the companys travel profile following transition of ownership to German Government following Russian sanctions along with the impact of lockdown on travel  Led the development and implementation of group travel and insurance policies factoring in legislative changes to the insurance market following Brexit to ensure full coverage across the business In addition I implemented travel visa providers and employee assistance programmes Led a programme to reduce and consolidate the preferred hotel base across each of the companys key locations to consolidate spend and drive agreed rates down
186,Procurement of Employee Benefits and Occupational Health Programmes, In my most recent role acted as project lead for the Employee Benefits programme following significant organisational change and the exit of key suppliers following Russian sanctions  Key priorities were to negotiate with previous suppliers to reinstate provision following the lifting of the Russian sanctions to ensure cover was reinstated  As part of this exercise I reviewed the marketplace for alternative providers and worked with our broker to develop a tender strategy going forward with key suppliers such as BUPA Vitality and AXA Healthcare for our private healthcare and dental provision   In addition developed a number of potential strategies such as company self funding schemes and cash alternatives for employees to ensure that alternative provision would be made available in the event of the negotiations being unsuccessful  Once stability was achieved I conducted market research across all areas of provision and recommended alternatives deletions and submissions where applicable to ensure that we had a competitive offering to attract new talent  Focus was also given to moving to App based flexible benefits offerings to reduce the admin burden on the HR Team 
187,Strategic Procurement of Management Consultancy, Previously led the implementation of the Business Management Consultancy Framework for a major water utilities provider This involved stakeholder training sessions on how to utilise the Framework agreement including understanding which were the most appropriate lots to call off against how to create call off orders and mini competitions understanding supplier offerings under the framework etc  In addition tracked utilisation and reported back compliance stats and savings achieved to the Senior Leadership team Key suppliers included KPMG Deloitte Baringa Turner  Townend EY PWC In other roles implemented policies and processes to drive greater control and compliance around consultancy spend leading to significant savings
188,"Procurement of Audit Services (External, Tax, and Internal)", In a number of roles I have reviewed refined and implemented process flows to ensure segregation between internal and external audit providers is maintained to ensure compliance  This has also involved working with existing suppliers to understand and capture their process flows to capture any risk In addition I have driven alignment across contract end dates to enable tender processes to be undertaken allowing the fullest range of suitable participants possible Clear alignment of contract end dates also allows for a clear transition period between suppliers where necessary
189,Procurement for Real Estate and Lease Management, In a number of roles developed real estate databases to capture all applicable contracts associated with the property portfolio  This includes everything from utility meter contracts to IT Server related contracts business rates and telecoms agreements to waste management agreements This has allowed businesses to proactively align contract end dates in line with lease expiry dates driving significant savings through the reduction of early termination charges  This activity supports businesses in developing Total Cost of Ownership TCO models for their property portfolios and enables them to identify optimum exit timeframes   Supported businesses in developing relocation strategies and conducted negotiations with surveyors to define dilapidations and reinstatement costs prior to lease expiry
190,"Procurement of Fleet Management (Cars, HGV)", Procurement lead for Fleet for a major electrical distibutor managing the tender process for 85 HGVs working closely with the Fleet Managers to define clear specifications and detailing optimum lead times to transition from existing lease agreements factoring in estimated mileage and maintenance packages etc  Managed company car fleet in a number of roles  including a major national Utilities company for approx 3000 company cars This included leading funder reviews and going out to tender  selection of vehicle range managing emissions changes and impact on P11D values managing terminations and settlements etc Managed a number of tenders for bulk purchases of vehicles for major projects as required  Tendered for Driver Risk Management Services and led the rollout programme to approx 9000 employees  In my most recent role I have led the process for company car selection for our Paris office  This included liaising with Alphabet ABC Leasing Nationwide etc to build relationships with their French counterparts 
191,Strategic Procurement for Media Services, Media agency pitches delivering in various consolidated services  Savings across agency fees of circa 500k Digital agency deliverables vs agreed spend delivering savings  value add to 30 Corporate trade mechanisms to deliver in value to the client
192,Strategic Procurement of Creative Services,Benefits include Review strategic deliverables Benchmark dailyhourly  Creative agency pitches  viable participant list Review of existing suppliers  deliverables vs fee review fee mechanism
193,Digital Marketing Services Procurement ,Benefits include Evaluation of agency delivery vs roas Review of tech tools Bot stopping tools Digital services consolidation Comm rates for service delivery
194,Procurement of Market Research for Marketing,Benefits include  Market research pitches Evaluation of agencies to ensure not over payingdelivery of services Internal vs external support Tech tools
195,Category Management Excellence for Procurement, Established a Global Procurement framework for electronic components from the ground up circa 28m of spend This involved stakeholder alignment calls with SBUs across USA Canada UK and Australia Collating and analysing multiples levels of spend data creating a strategy to enhance buying channels and drive competitiveness Negotiated regional pricing agreements with double digit savings Also established smart tech developments using API links web based discounts and use of eBOM tools to ensure market research and benchmarking was significantly improved
196,Optimising the Procurement Source-to-Pay Process, Developed a new KPI and reporting structure for Atlas Elektronik 201517 to monitor and drive supplier performance Set team targets and stretch goals with both individual and collective team metrics Established visual management board and site wide supply chain reporting Metrics included on time in full delivery quality reject  savings payment terms and average weighted lead times  I have continued to adopt a similar model in a number of recent interim roles and continue with my latest client Ultra Energy 202324 to enhance metrics The client is seeing a real benefit from not only having clear visibility of metrics but also to identify trends and progress by both myself and the wider supply chain team Consistent 97 OTIF delivery savings target on track and will be exceeded Partnering with a 3rd party IT consultancy and internal PMO team to enhance digitisation across Ultra Energy UK 202324 Real time ERP exception reporting dashboards spend versus budget tracking Pull systems  at Siemens Mobility 2020 introduced VMI to the Bletchley depot to manage fastenings Moving from a delivery to purchase order approach to a managed bin system covered by an annual call off order min safety stocks bar code scanning Benefits to the client included no stockouts greatly reduced PO mgt reducing indirect costs 2 bin system with green and red labels created a clear visual traffic light The supplier visited site twice per week to top up Also received reports highlighting runnersrepeaters and slow moving stock POAP  Plan On A Page developed at Ultra Energy 2024 to enhance processes across the business Collaboration with other functions such as Quality Production and Projects was essential This included developing a Supply Chain Risk register digitisation cost management metrics supplier delivery enhancements such as inventory management and capacity reviews
197,Strategic Procurement of Electronic Components and PCBAs, Developed a global electronic component category framework for Ultra Electronics global spend 202022 28m across four regions USA Canada  UK and Australia Negotiated preferential discount structures end column pricing enhanced pricing curves API smart links to reduce PO mgt time Leveraged regionalglobal spend and negotiated set regional payment terms multiple different payment terms to consistent terms Global agreements established with global franchised distributors such as Avnet Arrow DigiKey RS Components etc Restructured the Category structure from top tier distributors down to catalogue suppliers electronic brokers and original component manufacturers Double digit savings achieved with year on year benefits Enhanced supplier relations stocking arrangements and calloff plans reducing stock levels and improving working capital cashflow Currently structuring the electronic component category at Ultra Energy 2024 improving buying channelsoptions conducting open book analysis with lead Printed Circuit Board Assembly PCBA supplier achieved double digit savings risk managed long lead time and obsolete components Established an industry leading eBOM tool that enables analysis on lifecycle tracking pricing lead times stock availability environmental and Form Fit Function alternatives for Hard to Find components Fully trained and using daily now rolling out to other core staff across the site
198,How to deliver effective Procurement Projects, Experience gained across multiple hitech and highly compliant industries supporting direct manufacturing supply chains Industry experience across maritime military aerospace rail gas detection and nuclear Project procurement lead supporting multiple ongoing projects including supplier management contract management risk assessment price and total cost negotiation  Ensuring the critical path is adhered to and issues are escalated to the project manager including mitigation actions timelines and costs Project review preparation and attendance competent at presenting to senior management and executive leadership Supplier visits and capability assessments supporting audits when needed  Experience of working on low level through to multimillion pound projects such as Eurofighter Vanguard and Astute submarines South West Rail train refurbishments and large nuclear projects for AWE High focus on achieving milestone deliverables hitting savings targets budget control and risk mitigations On track to deliver 20 plus of savings on a 1m PCBA spend within a critical nuclear project 2024 Also managing multiple categories on the same project Experience gained with technical staff resolving configuration issues make v buy options quality standards and build to print challenges Highly experienced with both COTS and bespoke designs
199,Advanced Spend Analysis and Cost Reduction, Using data analysis tools to identify opportunities for cost reduction Excel Accuris IHS Markit ERP tools  Understanding supplier costs and drivers negotiating options to reduce Total Cost Of Ownership  TCO Collaborative working with suppliers on value engineering and analysis eg tolerances materials quality standards batch qtys MOQEOQs delivery options packaging lifecycle management Using recognised techniques such as open book costings desktop quantitative analysis such as using labour rates materials indices such as London Metal Exchange LME white paper research and accounts reviews PL balance sheet ratios etc Experience enhanced through working directly with production engineers accountants project leads and budget holders Data mining to identify cost reduction andor avoidance opportunities Gaining stakeholder buyin to support my initiatives and approach Ability to pull data from varied sources cleanse and assess Cost Management experience developed across multiple industries supporting SMEs up to large corporate companies
200,Enhancing Your Procurement Team's Performance, Skills assessments of Supply Chain and Procurement staff identifying weaknesses then developing training plans to close gaps Acting as a CIPS mentor plus coaching and support of staff from Procurement Administrators to Category Managers Strong believer in Continuous Professional Development CPD I attend webinars read articles share knowledge with my peers and other functions and stay informed on the latest techniques strategies market information etc Have worked with many companiesclients to enhance staff capabilities Negotiated training budgets with HR and Finance influencing stakeholders with clear goals and benefits for the business Lean trained Six Sigma Green Belt  advocate of continuous improvement reducing waste and improving processes led by a Kaizen mentality and culture  Training and CIPS mentor at various companies Recognised as a credible focused and motivated procurement professional  Fully MCIPS qualified with over 24years of experience in Procurement Operated as a stand lone BuyerCategory Manager through to managing teams of up to 15 people with 100m budget responsibility
201,Expert Tips and Insights from a Procurement Specialist, 10 years of experience in the procurement field industry specially in the construction Several procurement plans were delivered to multiple clients Generated a lot of savings to big projects through data analysis and negotiating good terms and conditions
202,How to set up a Greenfield Procurement Function , Successfully designed and implemented Procurement functions from the ground up aligning with business strategies and delivering measurable benefits Extensive experience in stakeholder engagement ensuring smooth adoption and integration of Procurement processes across departments Proven track record in enhancing Procurement capabilities through strategic policy development and system implementations leading to improved efficiency and compliance
203,Strategic Procurement of Raw Materials for Manufacturing, Significant expertise in managing complex procurement categories across various industries notably at BASF and NOVA Chemicals focusing on strategic sourcing for chemicals and polymers which aligns perfectly with managing diverse raw materials
204,Mechanical Assemblies Procurement for Critical Infrastructure, With experience at leading manufacturers like Marshall Aerospace  Defence Group I have developed and executed Procurement strategies for complex assemblies ensuring alignment with highstakes highcompliance industrial standards
205,Procurement of Fuel and Refuelling Solutions, Held strategic roles in defense and aerospace sectors managing highcomplexity procurement projects provide a solid foundation for advising on fuel and refueling procurement emphasizing operational efficiency and compliance
206,Procurement of Medical Devices, With a robust background in Pharmaceuticals and Healthcare sectors including work with leading organisations I can offer deep insights into the complexities of medical device procurement aligning with regulatory requirements and operational needs
207,Implementation of Living Wage Standards across the Supply Chain, Extensive experience in transforming Procurement practices to incorporate ethical standards and social change Successfully implemented socially responsible Procurement frameworks that enhanced client reputation and employee satisfaction Expertise in aligning outsourced service contracts with corporate social responsibility goals
208,Energy Reduction and Environmental Sustainability in Procurement, Proven track record in leading energy reduction initiatives that resulted in significant cost savings and reduced environmental footprints Experienced in managing largescale sustainability projects from conception through to completion Expertise in integrating sustainable practices into procurement processes that align with global environmental standards
209,Transitioning to Green Fleet Management, Directed the transition of fleet operations to sustainable alternatives in previous roles achieving improved operational efficiencies and reduced carbon emissions Skilled in negotiating with vehicle suppliers and technology providers to secure costeffective solutions Expertise in implementing innovative fleet management solutions that support environmental and corporate sustainability goals
210,Mobile & Telecom Contract Negotiations, Extensive experience in telecom procurement achieving significant cost reductions and service improvements Successfully renegotiated complex telecom agreements with major providers introducing costeffective alternatives Expertise in deploying new technologies that enhance communication capabilities while managing costs
211,Procurement & Implementation of SAP S4 Hana , Led multiple successful SAP S4 Hana implementations demonstrating deep expertise in ERP upgrades and migrations Skilled in managing crossfunctional teams to deliver complex IT projects on time and within budget Proven ability to leverage SAP technology to enhance business processes and operational efficiency
212,Pharma Logistics and Supply Chain Solutions, Extensive experience in managing diverse logistics operations particularly in challenging regulatory environments Successfully navigated complex Brexitrelated trade issues minimising disruption and maintaining operational continuity Expert in legal and compliance aspects of logistics especially in the Healthcare sector
213,Strategic Travel Management and TMC Implementation, Extensive experience in developing and implementing comprehensive travel management solutions across various industries Successfully matched client requirements with the most suitable TMCs optimising travel logistics and cost Expertise in managing highvolume complex travel arrangements delivering tailored solutions that enhance operational efficiency
214,Procurement of Charter Aircraft Services, Proven capability in managing the procurement of charter aircraft services for a variety of operational needs Experience in negotiating and managing complex contracts for both rotary and fixedwing aircraft services Skilled in conducting thorough incident investigations ensuring robust risk management practices are in place
215,Specialist Procurement Management in the Sports Industry, Led the setup and management of Procurement operations within a global sports organisation encompassing all aspects from facilities to media and marketing Extensive experience in handling highvalue contracts and supplier negotiations that meet the dynamic needs of professional sports Proven track record in enhancing operational efficiency and stakeholder satisfaction through strategic Procurement practices
216,Procurement of Facilities Management for Sports Stadiums, Directed Facilities Management Procurement for multiple sports stadiums and training grounds in both the UK and internationally Expertise in integrating complex hard and soft facilities management solutions tailored to the unique needs of sports organisations Successfully enhanced operational efficiencies and achieved significant cost savings through strategic vendor partnerships and robust contract management
217,Strategic Procurement of SAP and Coupa Software Solutions, Led two fullscale S4 Hana implementations along with earlier SAP versions managing contractual setups and driving procurement and supply chain process elements Provided clientside programme reviews to ensure SAP and Coupa implementations were on track to deliver expected business outcomes Expertise in crafting tailored SAP and Coupa solutions that enhance operational efficiency and support strategic business objectives
218,"Direct Materials - Procurement Strategy, Cost Analysis & Risk Management", Led  delivered Procurement integration  improvement projects delivering multiple m synergies  benefits Designed created  launched complete new product ranges across a range of sectors Independent FMCG Procurement consultant since 2019 with 20 years prior experience gained within a variety of organisations
219,Procurement Act 2023 - for Public Sector Procurement,  Significant experience of the Public Procurement Act 2023 and supporting regulations advising on best practices Senior highly experienced Procurement professional with a keen understanding of Public Procurement regulations policy and best practice and a commercial and pragmatic approach to delivery  Understand how the new act will require changes to your current ways of working Improve your knowledge if the new tools processes and concepts brought about by the regulations and how to use these to drive efficiency and improve procurement outcomes 
220,Strategic Chemical / Pharma Procurement Expert,As a Procurement Consultant at S3M Technologies working for Avantor Inc I have spearheaded various initiatives to optimize specialty chemical procurement processes driving significant benefits for the organization Comprehensive Process Review Led a thorough review of Avantor Incs specialty chemical procurement processes identifying inefficiencies and bottlenecks This initiative resulted in actionable insights that paved the way for process improvements Negotiation of LongTerm Contracts Successfully negotiated longterm contracts with key suppliers leveraging strategic insights to secure improved pricing and delivery terms By ensuring continuity of supply Avantor Inc enhanced operational efficiency and minimized disruptions in production processes Process Improvements Developed and implemented targeted process improvements that led to a remarkable 20 reduction in procurement cycle times This streamlined workflow not only saved time but also optimized resource utilization contributing to overall cost savings for the organization Supplier Performance Management Implemented robust supplier performance metrics and a comprehensive supplier management process This included thorough onboarding procedures regular performance evaluations and proactive relationship management By holding suppliers to high standards of performance Avantor Inc achieved greater reliability and consistency in its supply chain operations CrossFunctional Collaboration Collaborated closely with crossfunctional teams to align procurement and category strategies with project objectives and timelines This alignment facilitated seamless execution of projects resulting in improved project outcomes and enhanced organizational efficiency Stakeholder Training Programs Developed and delivered tailored training programs for internal stakeholders on supplier management best practices These programs fostered a culture of collaboration and communication within the organization empowering teams to effectively engage with suppliers and optimize procurement processes Through these initiatives Avantor Inc realized tangible benefits including improved operational efficiency cost savings enhanced supplier relationships and optimized project outcomesThis track record of delivering results underscores my commitment to driving excellence in procurement practices and delivering value to my clients
